id,id_type,src_id,met_day,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode
5028.0,DCNN,695.0,2009-01-01,119.21502226111517,119.21502226111517,119.21502226111517,0.3,0.3,0.3,-2.6,-2.6,-2.6,-0.7,-0.7,-0.7,80.9,80.9,80.9,,,,5.0,5.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,119.21502226111517,119.21502226111517,119.21502226111517,50.0,4.0
5028.0,DCNN,695.0,2009-01-02,37.84462592358568,37.84462592358568,37.84462592358568,1.4,1.4,1.4,0.6,0.6,0.6,1.1,1.1,1.1,94.4,94.4,94.4,,,,5.0,5.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,37.84462592358568,37.84462592358568,37.84462592358568,50.0,1.0
5028.0,DCNN,695.0,2009-01-03,145.03173829487582,145.03173829487582,145.03173829487582,-1.7,-1.7,-1.7,-5.9,-5.9,-5.9,-2.9,-2.9,-2.9,73.1,73.1,73.1,,,,2.0,2.0,2000.0,2000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,145.03173829487582,145.03173829487582,145.03173829487582,50.0,4.0
5028.0,DCNN,695.0,2009-01-04,62.107212489326834,62.107212489326834,62.107212489326834,-4.5,-4.5,-4.5,-6.5,-6.5,-6.5,-4.9,-4.9,-4.9,85.8,85.8,85.8,,,,2.0,2.0,2000.0,2000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,62.107212489326834,62.107212489326834,62.107212489326834,270.0,4.0
5028.0,DCNN,695.0,2009-01-05,25.221505216366804,25.221505216366804,25.221505216366804,0.1,0.1,0.1,-0.5,-0.5,-0.5,-0.1,-0.1,-0.1,95.9,95.9,95.9,,,,15.0,15.0,2000.0,2000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,25.221505216366804,25.221505216366804,25.221505216366804,50.0,17.0
5028.0,DCNN,695.0,2009-01-06,48.874025461401665,48.874025461401665,48.874025461401665,-3.8,-3.8,-3.8,-5.3,-5.3,-5.3,-4.1,-4.1,-4.1,89.4,89.4,89.4,,,,5.0,5.0,2000.0,2000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,48.874025461401665,48.874025461401665,48.874025461401665,50.0,16.0
5028.0,DCNN,695.0,2009-01-07,52.969728446935385,52.969728446935385,52.969728446935385,-1.1,-1.1,-1.1,-2.4,-2.4,-2.4,-1.5,-1.5,-1.5,90.6,90.6,90.6,,,,2.0,2.0,1000.0,1000.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,52.969728446935385,52.969728446935385,52.969728446935385,270.0,16.0
5028.0,DCNN,695.0,2009-01-08,25.313218369218088,25.313218369218088,25.313218369218088,1.2,1.2,1.2,0.7,0.7,0.7,1.0,1.0,1.0,96.2,96.2,96.2,,,,2.0,2.0,400.0,400.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,25.313218369218088,25.313218369218088,25.313218369218088,230.0,4.0
5028.0,DCNN,695.0,2009-01-09,10.019201585421543,10.019201585421543,10.019201585421543,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,98.1,98.1,98.1,,,,2.0,2.0,20.0,20.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,10.019201585421543,10.019201585421543,10.019201585421543,50.0,4.0
5028.0,DCNN,695.0,2009-01-10,29.083265035112394,29.083265035112394,29.083265035112394,-4.6,-4.6,-4.6,-5.5,-5.5,-5.5,-4.7,-4.7,-4.7,93.3,93.3,93.3,,,,2.0,2.0,20.0,20.0,,0.0,0.0,0.0,,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,6.0,29.083265035112394,29.083265035112394,29.083265035112394,130.0,4.0
