met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year,significant_rain,days_since_rain,rain_category
2011-04-11,0.0,0.0,0.0,0.0,19,2011,False,6.0,3-7 days
2011-04-12,0.037,0.4,0.0,0.112,19,2011,False,7.0,3-7 days
2011-04-13,0.0,0.0,0.0,0.0,19,2011,False,8.0,8-14 days
2011-04-14,0.0,0.0,0.0,0.0,19,2011,False,9.0,8-14 days
2011-04-15,0.0,0.0,0.0,0.0,19,2011,False,10.0,8-14 days
2011-04-16,0.0,0.0,0.0,0.0,19,2011,False,11.0,8-14 days
2011-04-17,0.0,0.0,0.0,0.0,19,2011,False,12.0,8-14 days
2011-04-18,0.0,0.0,0.0,0.0,19,2011,False,13.0,8-14 days
2011-04-19,0.021,0.4,0.0,0.092,19,2011,False,14.0,8-14 days
2011-04-20,0.0,0.0,0.0,0.0,19,2011,False,15.0,15+ days
2011-04-21,0.0,0.0,0.0,0.0,19,2011,False,16.0,15+ days
2011-04-22,0.0,0.0,0.0,0.0,19,2011,False,17.0,15+ days
2011-04-23,0.011,0.2,0.0,0.046,19,2011,False,18.0,15+ days
2011-04-24,2.542,10.2,0.0,3.215,19,2011,True,0.0,0-2 days
2011-04-25,0.0,0.0,0.0,0.0,19,2011,False,1.0,0-2 days
2011-04-26,0.0,0.0,0.0,0.0,19,2011,False,2.0,0-2 days
2011-04-27,0.0,0.0,0.0,0.0,19,2011,False,3.0,3-7 days
2011-04-28,0.0,0.0,0.0,0.0,19,2011,False,4.0,3-7 days
2011-04-29,0.0,0.0,0.0,0.0,19,2011,False,5.0,3-7 days
2011-04-30,0.021,0.2,0.0,0.063,19,2011,False,6.0,3-7 days
2011-05-01,0.0,0.0,0.0,0.0,19,2011,False,7.0,3-7 days
2011-05-02,0.0,0.0,0.0,0.0,19,2011,False,8.0,8-14 days
2011-05-03,0.016,0.3,0.0,0.069,19,2011,False,9.0,8-14 days
2011-05-04,0.0,0.0,0.0,0.0,19,2011,False,10.0,8-14 days
2011-05-05,0.079,0.4,0.0,0.144,19,2011,False,11.0,8-14 days
2011-05-06,0.042,0.6,0.0,0.143,19,2011,False,12.0,8-14 days
2011-05-07,2.074,5.0,0.6,1.133,19,2011,True,0.0,0-2 days
2011-05-08,3.416,8.4,1.0,2.118,19,2011,True,0.0,0-2 days
2011-05-09,0.037,0.7,0.0,0.161,19,2011,False,1.0,0-2 days
2011-05-10,0.0,0.0,0.0,0.0,19,2011,False,2.0,0-2 days
2011-05-11,0.0,0.0,0.0,0.0,19,2011,False,3.0,3-7 days
2011-05-12,0.0,0.0,0.0,0.0,19,2011,False,4.0,3-7 days
2011-05-13,0.0,0.0,0.0,0.0,19,2011,False,5.0,3-7 days
2011-05-14,0.0,0.0,0.0,0.0,19,2011,False,6.0,3-7 days
2011-05-15,0.005,0.1,0.0,0.023,19,2011,False,7.0,3-7 days
2011-05-16,0.016,0.3,0.0,0.069,19,2011,False,8.0,8-14 days
2011-05-17,0.0,0.0,0.0,0.0,19,2011,False,9.0,8-14 days
2011-05-18,0.179,0.5,0.0,0.196,19,2011,False,10.0,8-14 days
2011-05-19,0.384,2.0,0.0,0.633,19,2011,False,11.0,8-14 days
2011-05-20,0.0,0.0,0.0,0.0,19,2011,False,12.0,8-14 days
2011-05-21,0.0,0.0,0.0,0.0,19,2011,False,13.0,8-14 days
2011-05-22,1.526,3.2,0.6,0.578,19,2011,True,0.0,0-2 days
2011-05-23,0.221,0.8,0.0,0.272,19,2011,False,1.0,0-2 days
2011-05-24,0.0,0.0,0.0,0.0,19,2011,False,2.0,0-2 days
2011-05-25,0.0,0.0,0.0,0.0,19,2011,False,3.0,3-7 days
2011-05-26,0.011,0.2,0.0,0.046,19,2011,False,4.0,3-7 days
2011-05-27,11.026,23.8,4.4,6.057,19,2011,True,0.0,0-2 days
2011-05-28,0.005,0.1,0.0,0.023,19,2011,False,1.0,0-2 days
2011-05-29,0.026,0.4,0.0,0.093,19,2011,False,2.0,0-2 days
2011-05-30,0.0,0.0,0.0,0.0,19,2011,False,3.0,3-7 days
2011-05-31,1.568,2.0,0.8,0.35,19,2011,True,0.0,0-2 days
2011-06-01,0.311,1.7,0.0,0.531,19,2011,False,1.0,0-2 days
2011-06-02,0.0,0.0,0.0,0.0,18,2011,False,2.0,0-2 days
2011-06-03,0.0,0.0,0.0,0.0,18,2011,False,3.0,3-7 days
2011-06-04,0.0,0.0,0.0,0.0,18,2011,False,4.0,3-7 days
2011-06-05,0.0,0.0,0.0,0.0,18,2011,False,5.0,3-7 days
2011-06-06,29.994,46.5,16.5,9.472,18,2011,True,0.0,0-2 days
2011-06-07,0.689,4.2,0.0,1.073,18,2011,False,1.0,0-2 days
2011-06-08,0.011,0.2,0.0,0.047,18,2011,False,2.0,0-2 days
2011-06-09,2.622,8.1,0.4,1.929,18,2011,True,0.0,0-2 days
2011-06-10,0.617,1.6,0.0,0.473,18,2011,False,1.0,0-2 days
2011-06-11,5.572,14.3,2.0,3.788,18,2011,True,0.0,0-2 days
2011-06-12,2.028,6.0,0.0,2.027,18,2011,True,0.0,0-2 days
2011-06-13,5.689,12.1,1.9,2.753,18,2011,True,0.0,0-2 days
2011-06-14,0.006,0.1,0.0,0.024,18,2011,False,1.0,0-2 days
2011-06-15,0.0,0.0,0.0,0.0,18,2011,False,2.0,0-2 days
2011-06-16,4.644,12.4,0.8,3.6,18,2011,True,0.0,0-2 days
2011-06-17,4.822,10.7,1.0,2.529,18,2011,True,0.0,0-2 days
2011-06-18,9.05,14.8,6.0,2.207,18,2011,True,0.0,0-2 days
2011-06-19,4.222,10.7,0.5,3.029,18,2011,True,0.0,0-2 days
2011-06-20,0.522,2.8,0.0,0.743,18,2011,False,1.0,0-2 days
2011-06-21,2.717,4.7,0.6,0.885,18,2011,True,0.0,0-2 days
2011-06-22,0.178,3.2,0.0,0.754,18,2011,False,1.0,0-2 days
2011-06-23,4.722,11.9,1.2,2.845,18,2011,True,0.0,0-2 days
2011-06-24,0.278,1.6,0.0,0.467,18,2011,False,1.0,0-2 days
2011-06-25,4.344,7.9,2.4,1.626,18,2011,True,0.0,0-2 days
2011-06-26,0.0,0.0,0.0,0.0,18,2011,False,1.0,0-2 days
2011-06-27,0.0,0.0,0.0,0.0,18,2011,False,2.0,0-2 days
2011-06-28,0.106,1.1,0.0,0.288,18,2011,False,3.0,3-7 days
2011-06-29,5.122,9.7,3.2,1.875,18,2011,True,0.0,0-2 days
2011-06-30,0.006,0.1,0.0,0.024,18,2011,False,1.0,0-2 days
2011-07-01,0.044,0.8,0.0,0.189,18,2011,False,2.0,0-2 days
2011-07-02,0.0,0.0,0.0,0.0,20,2011,False,3.0,3-7 days
2011-07-03,0.0,0.0,0.0,0.0,20,2011,False,4.0,3-7 days
2011-07-04,0.0,0.0,0.0,0.0,20,2011,False,5.0,3-7 days
2011-07-05,0.0,0.0,0.0,0.0,20,2011,False,6.0,3-7 days
2011-07-06,3.92,9.6,1.8,1.939,20,2011,True,0.0,0-2 days
2011-07-07,2.545,5.8,0.1,1.847,20,2011,True,0.0,0-2 days
2011-07-08,12.47,22.4,3.1,5.948,20,2011,True,0.0,0-2 days
2011-07-09,2.19,7.4,0.0,2.182,20,2011,True,0.0,0-2 days
2011-07-10,0.12,1.6,0.0,0.359,20,2011,False,1.0,0-2 days
2011-07-11,0.075,0.9,0.0,0.224,20,2011,False,2.0,0-2 days
2011-07-12,0.0,0.0,0.0,0.0,20,2011,False,3.0,3-7 days
2011-07-13,0.07,0.6,0.0,0.159,20,2011,False,4.0,3-7 days
2011-07-14,0.0,0.0,0.0,0.0,20,2011,False,5.0,3-7 days
2011-07-15,0.0,0.0,0.0,0.0,20,2011,False,6.0,3-7 days
2011-07-16,0.72,1.2,0.0,0.311,20,2011,False,7.0,3-7 days
2011-07-17,9.65,17.7,6.4,2.814,20,2011,True,0.0,0-2 days
2011-07-18,5.63,10.4,2.7,2.161,20,2011,True,0.0,0-2 days
2011-07-19,2.99,6.0,0.6,1.474,20,2011,True,0.0,0-2 days
2011-07-20,6.165,26.2,0.0,7.802,20,2011,True,0.0,0-2 days
2011-07-21,2.135,5.2,0.0,1.527,20,2011,True,0.0,0-2 days
2011-07-22,1.455,6.6,0.0,1.627,20,2011,True,0.0,0-2 days
2011-07-23,1.48,5.0,0.0,1.458,20,2011,True,0.0,0-2 days
2011-07-24,0.02,0.2,0.0,0.062,20,2011,False,1.0,0-2 days
2011-07-25,0.0,0.0,0.0,0.0,20,2011,False,2.0,0-2 days
2011-07-26,0.0,0.0,0.0,0.0,20,2011,False,3.0,3-7 days
2011-07-27,0.0,0.0,0.0,0.0,20,2011,False,4.0,3-7 days
2011-07-28,0.0,0.0,0.0,0.0,20,2011,False,5.0,3-7 days
2011-07-29,0.02,0.2,0.0,0.062,20,2011,False,6.0,3-7 days
2011-07-30,0.0,0.0,0.0,0.0,20,2011,False,7.0,3-7 days
2011-07-31,0.0,0.0,0.0,0.0,20,2011,False,8.0,8-14 days
2011-08-01,0.0,0.0,0.0,0.0,20,2011,False,9.0,8-14 days
2011-08-02,0.939,5.2,0.0,1.312,18,2011,False,10.0,8-14 days
2011-08-03,0.344,2.6,0.0,0.748,18,2011,False,11.0,8-14 days
2011-08-04,4.833,6.1,2.5,0.857,18,2011,True,0.0,0-2 days
2011-08-05,6.961,10.4,5.0,1.513,18,2011,True,0.0,0-2 days
2011-08-06,0.0,0.0,0.0,0.0,18,2011,False,1.0,0-2 days
2011-08-07,0.161,1.4,0.0,0.39,18,2011,False,2.0,0-2 days
2011-08-08,3.5,18.6,0.4,4.406,18,2011,True,0.0,0-2 days
2011-08-09,0.117,0.7,0.0,0.186,18,2011,False,1.0,0-2 days
2011-08-10,0.0,0.0,0.0,0.0,18,2011,False,2.0,0-2 days
2011-08-11,0.4,2.2,0.0,0.637,18,2011,False,3.0,3-7 days
2011-08-12,2.956,7.0,0.0,2.03,18,2011,True,0.0,0-2 days
2011-08-13,1.039,4.1,0.4,1.028,18,2011,True,0.0,0-2 days
2011-08-14,0.017,0.2,0.0,0.051,18,2011,False,1.0,0-2 days
2011-08-15,0.0,0.0,0.0,0.0,18,2011,False,2.0,0-2 days
2011-08-16,0.078,0.4,0.0,0.14,18,2011,False,3.0,3-7 days
2011-08-17,0.0,0.0,0.0,0.0,18,2011,False,4.0,3-7 days
2011-08-18,0.561,1.4,0.0,0.473,18,2011,False,5.0,3-7 days
2011-08-19,7.567,23.1,1.5,7.53,18,2011,True,0.0,0-2 days
2011-08-20,0.0,0.0,0.0,0.0,18,2011,False,1.0,0-2 days
2011-08-21,3.783,6.8,0.2,1.701,18,2011,True,0.0,0-2 days
2011-08-22,0.0,0.0,0.0,0.0,18,2011,False,1.0,0-2 days
2011-08-23,5.739,10.0,0.5,3.076,18,2011,True,0.0,0-2 days
2011-08-24,2.694,4.9,0.5,1.383,18,2011,True,0.0,0-2 days
2011-08-25,1.422,5.6,0.0,1.618,18,2011,True,0.0,0-2 days
2011-08-26,8.683,13.7,3.2,2.945,18,2011,True,0.0,0-2 days
2011-08-27,6.728,13.2,2.0,3.757,18,2011,True,0.0,0-2 days
2011-08-28,2.4,7.9,0.0,1.804,18,2011,True,0.0,0-2 days
2011-08-29,0.756,1.6,0.0,0.474,18,2011,False,1.0,0-2 days
2011-08-30,0.0,0.0,0.0,0.0,18,2011,False,2.0,0-2 days
2011-08-31,0.0,0.0,0.0,0.0,18,2011,False,3.0,3-7 days
2011-09-01,0.0,0.0,0.0,0.0,18,2011,False,4.0,3-7 days
2011-09-02,0.0,0.0,0.0,0.0,20,2011,False,5.0,3-7 days
2011-09-03,0.0,0.0,0.0,0.0,20,2011,False,6.0,3-7 days
2011-09-04,0.0,0.0,0.0,0.0,20,2011,False,7.0,3-7 days
2011-09-05,4.265,9.4,2.0,1.679,20,2011,True,0.0,0-2 days
2011-09-06,2.485,5.2,1.0,0.924,20,2011,True,0.0,0-2 days
2011-09-07,5.005,24.7,0.8,6.331,20,2011,True,0.0,0-2 days
2011-09-08,0.715,1.5,0.4,0.317,20,2011,False,1.0,0-2 days
2011-09-09,1.305,4.0,0.2,1.191,20,2011,True,0.0,0-2 days
2011-09-10,0.005,0.1,0.0,0.022,20,2011,False,1.0,0-2 days
2011-09-11,3.63,6.2,2.0,1.224,20,2011,True,0.0,0-2 days
2011-09-12,1.085,2.8,0.2,0.666,20,2011,True,0.0,0-2 days
2011-09-13,0.005,0.1,0.0,0.022,20,2011,False,1.0,0-2 days
2011-09-14,0.705,1.8,0.0,0.519,20,2011,False,2.0,0-2 days
2011-09-15,0.0,0.0,0.0,0.0,20,2011,False,3.0,3-7 days
2011-09-16,0.02,0.2,0.0,0.062,20,2011,False,4.0,3-7 days
2011-09-17,0.01,0.2,0.0,0.045,20,2011,False,5.0,3-7 days
2011-09-18,3.21,5.6,0.4,1.534,20,2011,True,0.0,0-2 days
2011-09-19,0.52,2.8,0.0,0.711,20,2011,False,1.0,0-2 days
2011-09-20,0.27,1.0,0.0,0.328,20,2011,False,2.0,0-2 days
2011-09-21,3.255,5.5,2.1,0.881,20,2011,True,0.0,0-2 days
2011-09-22,0.235,0.9,0.0,0.296,20,2011,False,1.0,0-2 days
2011-09-23,0.04,0.8,0.0,0.179,20,2011,False,2.0,0-2 days
2011-09-24,0.01,0.2,0.0,0.045,20,2011,False,3.0,3-7 days
2011-09-25,0.01,0.2,0.0,0.045,20,2011,False,4.0,3-7 days
2011-09-26,0.135,2.5,0.0,0.558,20,2011,False,5.0,3-7 days
2011-09-27,0.395,4.0,0.0,0.992,20,2011,False,6.0,3-7 days
2011-09-28,0.01,0.2,0.0,0.045,20,2011,False,7.0,3-7 days
2011-09-29,0.0,0.0,0.0,0.0,20,2011,False,8.0,8-14 days
2011-09-30,0.0,0.0,0.0,0.0,20,2011,False,9.0,8-14 days
2011-10-01,0.0,0.0,0.0,0.0,20,2011,False,10.0,8-14 days
2011-10-02,0.0,0.0,0.0,0.0,21,2011,False,11.0,8-14 days
2011-10-03,0.0,0.0,0.0,0.0,21,2011,False,12.0,8-14 days
2011-10-04,0.0,0.0,0.0,0.0,21,2011,False,13.0,8-14 days
2011-10-05,0.09,1.4,0.0,0.308,21,2011,False,14.0,8-14 days
2011-10-06,2.829,8.6,1.2,1.688,21,2011,True,0.0,0-2 days
2011-10-07,0.129,0.3,0.0,0.096,21,2011,False,1.0,0-2 days
2011-10-08,0.052,1.1,0.0,0.24,21,2011,False,2.0,0-2 days
2011-10-09,1.595,3.0,0.6,0.56,21,2011,True,0.0,0-2 days
2011-10-10,0.124,1.2,0.0,0.332,21,2011,False,1.0,0-2 days
2011-10-11,0.0,0.0,0.0,0.0,21,2011,False,2.0,0-2 days
2011-10-12,0.0,0.0,0.0,0.0,21,2011,False,3.0,3-7 days
2011-10-13,0.043,0.2,0.0,0.081,21,2011,False,4.0,3-7 days
2011-10-14,0.148,1.0,0.0,0.262,21,2011,False,5.0,3-7 days
2011-10-15,0.01,0.2,0.0,0.044,21,2011,False,6.0,3-7 days
2011-10-16,0.01,0.2,0.0,0.044,21,2011,False,7.0,3-7 days
2011-10-17,0.01,0.2,0.0,0.044,21,2011,False,8.0,8-14 days
2011-10-18,3.862,6.1,1.5,1.407,21,2011,True,0.0,0-2 days
2011-10-19,0.0,0.0,0.0,0.0,21,2011,False,1.0,0-2 days
2011-10-20,0.071,1.2,0.0,0.263,21,2011,False,2.0,0-2 days
2011-10-21,0.0,0.0,0.0,0.0,21,2011,False,3.0,3-7 days
2011-10-22,0.0,0.0,0.0,0.0,21,2011,False,4.0,3-7 days
2011-10-23,0.005,0.1,0.0,0.022,21,2011,False,5.0,3-7 days
2011-10-24,0.0,0.0,0.0,0.0,21,2011,False,6.0,3-7 days
2011-10-25,2.357,4.8,0.6,1.178,21,2011,True,0.0,0-2 days
2011-10-26,2.71,5.0,1.2,1.284,21,2011,True,0.0,0-2 days
2011-10-27,3.852,7.1,0.6,1.529,21,2011,True,0.0,0-2 days
2011-10-28,1.462,4.8,0.0,1.182,21,2011,True,0.0,0-2 days
2011-10-29,0.086,0.4,0.0,0.131,21,2011,False,1.0,0-2 days
2011-10-30,0.033,0.7,0.0,0.153,21,2011,False,2.0,0-2 days
2011-10-31,0.1,0.7,0.0,0.207,21,2011,False,3.0,3-7 days
2011-11-01,1.486,3.4,0.0,1.056,21,2011,True,0.0,0-2 days
2011-11-02,0.076,0.4,0.0,0.114,21,2011,False,1.0,0-2 days
2011-11-03,2.171,4.1,1.0,1.026,21,2011,True,0.0,0-2 days
2011-11-04,24.3,42.0,18.6,5.906,21,2011,True,0.0,0-2 days
2011-11-05,0.338,1.2,0.0,0.407,21,2011,False,1.0,0-2 days
2011-11-06,0.005,0.1,0.0,0.022,21,2011,False,2.0,0-2 days
2011-11-07,0.024,0.4,0.0,0.089,21,2011,False,3.0,3-7 days
2011-11-08,0.781,1.6,0.0,0.356,21,2011,False,4.0,3-7 days
2011-11-09,1.095,2.1,0.0,0.529,21,2011,True,0.0,0-2 days
2011-11-10,0.014,0.2,0.0,0.048,21,2011,False,1.0,0-2 days
2011-11-11,0.057,0.2,0.0,0.093,21,2011,False,2.0,0-2 days
2011-11-12,0.295,1.2,0.0,0.379,21,2011,False,3.0,3-7 days
2011-11-13,0.029,0.3,0.0,0.078,21,2011,False,4.0,3-7 days
2011-11-14,0.0,0.0,0.0,0.0,21,2011,False,5.0,3-7 days
2011-11-15,0.024,0.2,0.0,0.062,21,2011,False,6.0,3-7 days
2011-11-16,0.0,0.0,0.0,0.0,21,2011,False,7.0,3-7 days
2011-11-17,0.0,0.0,0.0,0.0,21,2011,False,8.0,8-14 days
2011-11-18,0.024,0.2,0.0,0.062,21,2011,False,9.0,8-14 days
2011-11-19,0.038,0.2,0.0,0.08,21,2011,False,10.0,8-14 days
2011-11-20,0.057,0.4,0.0,0.112,21,2011,False,11.0,8-14 days
2011-11-21,0.019,0.2,0.0,0.06,21,2011,False,12.0,8-14 days
2011-11-22,0.476,1.0,0.0,0.325,21,2011,False,13.0,8-14 days
2011-11-23,0.352,1.5,0.0,0.438,21,2011,False,14.0,8-14 days
2011-11-24,0.052,0.2,0.0,0.075,21,2011,False,15.0,15+ days
2011-11-25,0.419,1.1,0.0,0.33,21,2011,False,16.0,15+ days
2011-11-26,0.0,0.0,0.0,0.0,21,2011,False,17.0,15+ days
2011-11-27,0.195,1.2,0.0,0.34,21,2011,False,18.0,15+ days
2011-11-28,0.01,0.2,0.0,0.044,21,2011,False,19.0,15+ days
2011-11-29,0.3,1.9,0.0,0.463,21,2011,False,20.0,15+ days
2011-11-30,1.638,4.8,0.0,1.2,21,2011,True,0.0,0-2 days
2011-12-01,1.262,4.4,0.2,1.005,21,2011,True,0.0,0-2 days
2011-12-02,7.115,9.0,3.0,1.919,20,2011,True,0.0,0-2 days
2011-12-03,1.845,5.0,0.6,1.043,20,2011,True,0.0,0-2 days
2011-12-04,0.0,0.0,0.0,0.0,20,2011,False,1.0,0-2 days
2011-12-05,0.48,1.8,0.0,0.552,20,2011,False,2.0,0-2 days
2011-12-06,0.01,0.2,0.0,0.045,20,2011,False,3.0,3-7 days
2011-12-07,0.215,1.0,0.0,0.276,20,2011,False,4.0,3-7 days
2011-12-08,0.015,0.1,0.0,0.037,20,2011,False,5.0,3-7 days
2011-12-09,1.92,4.2,0.7,0.974,20,2011,True,0.0,0-2 days
2011-12-10,0.0,0.0,0.0,0.0,20,2011,False,1.0,0-2 days
2011-12-11,0.05,0.5,0.0,0.119,20,2011,False,2.0,0-2 days
2011-12-12,5.77,8.6,4.0,1.45,20,2011,True,0.0,0-2 days
2011-12-13,13.535,25.6,6.4,5.948,20,2011,True,0.0,0-2 days
2011-12-14,0.205,1.3,0.0,0.327,20,2011,False,1.0,0-2 days
2011-12-15,0.35,2.1,0.0,0.504,20,2011,False,2.0,0-2 days
2011-12-16,9.23,12.0,5.8,1.669,20,2011,True,0.0,0-2 days
2011-12-17,1.735,4.2,0.2,1.078,20,2011,True,0.0,0-2 days
2011-12-18,0.63,1.4,0.0,0.392,20,2011,False,1.0,0-2 days
2011-12-19,0.255,1.6,0.0,0.462,20,2011,False,2.0,0-2 days
2011-12-20,4.25,5.4,3.6,0.548,20,2011,True,0.0,0-2 days
2011-12-21,2.065,2.4,1.8,0.173,20,2011,True,0.0,0-2 days
2011-12-22,0.08,0.3,0.0,0.106,20,2011,False,1.0,0-2 days
2011-12-23,0.005,0.1,0.0,0.022,20,2011,False,2.0,0-2 days
2011-12-24,4.445,6.3,2.8,1.066,20,2011,True,0.0,0-2 days
2011-12-25,0.22,0.5,0.0,0.154,20,2011,False,1.0,0-2 days
2011-12-26,0.01,0.1,0.0,0.031,20,2011,False,2.0,0-2 days
2011-12-27,0.025,0.4,0.0,0.091,20,2011,False,3.0,3-7 days
2011-12-28,0.05,0.4,0.0,0.11,20,2011,False,4.0,3-7 days
2011-12-29,0.0,0.0,0.0,0.0,20,2011,False,5.0,3-7 days
2011-12-30,2.77,5.2,1.6,0.904,20,2011,True,0.0,0-2 days
2011-12-31,4.675,6.9,3.8,0.615,20,2011,True,0.0,0-2 days
2012-01-01,0.62,1.2,0.0,0.344,20,2012,False,1.0,0-2 days
2012-01-02,11.532,17.4,3.8,3.943,19,2012,True,0.0,0-2 days
2012-01-03,1.916,5.0,0.0,1.404,19,2012,True,0.0,0-2 days
2012-01-04,9.211,11.4,7.5,1.133,19,2012,True,0.0,0-2 days
2012-01-05,3.716,11.9,1.4,2.787,19,2012,True,0.0,0-2 days
2012-01-06,0.147,0.6,0.0,0.201,19,2012,False,1.0,0-2 days
2012-01-07,0.021,0.2,0.0,0.054,19,2012,False,2.0,0-2 days
2012-01-08,0.0,0.0,0.0,0.0,19,2012,False,3.0,3-7 days
2012-01-09,0.011,0.2,0.0,0.046,19,2012,False,4.0,3-7 days
2012-01-10,0.121,0.4,0.0,0.151,19,2012,False,5.0,3-7 days
2012-01-11,0.0,0.0,0.0,0.0,19,2012,False,6.0,3-7 days
2012-01-12,0.0,0.0,0.0,0.0,19,2012,False,7.0,3-7 days
2012-01-13,0.0,0.0,0.0,0.0,19,2012,False,8.0,8-14 days
2012-01-14,0.011,0.2,0.0,0.046,19,2012,False,9.0,8-14 days
2012-01-15,0.021,0.2,0.0,0.063,19,2012,False,10.0,8-14 days
2012-01-16,0.011,0.2,0.0,0.046,19,2012,False,11.0,8-14 days
2012-01-17,0.011,0.2,0.0,0.046,19,2012,False,12.0,8-14 days
2012-01-18,0.421,1.1,0.0,0.276,19,2012,False,13.0,8-14 days
2012-01-19,3.905,6.4,1.4,1.758,19,2012,True,0.0,0-2 days
2012-01-20,1.189,3.1,0.2,0.675,19,2012,True,0.0,0-2 days
2012-01-21,0.053,0.3,0.0,0.09,19,2012,False,1.0,0-2 days
2012-01-22,0.011,0.1,0.0,0.032,19,2012,False,2.0,0-2 days
2012-01-23,0.011,0.2,0.0,0.046,19,2012,False,3.0,3-7 days
2012-01-24,1.163,1.6,0.8,0.287,19,2012,True,0.0,0-2 days
2012-01-25,4.511,6.8,3.0,0.952,19,2012,True,0.0,0-2 days
2012-01-26,2.068,3.6,1.3,0.641,19,2012,True,0.0,0-2 days
2012-01-27,0.147,0.8,0.0,0.206,19,2012,False,1.0,0-2 days
2012-01-28,0.374,2.1,0.0,0.56,19,2012,False,2.0,0-2 days
2012-01-29,0.047,0.4,0.0,0.107,19,2012,False,3.0,3-7 days
2012-01-30,0.079,0.6,0.0,0.165,19,2012,False,4.0,3-7 days
2012-01-31,0.0,0.0,0.0,0.0,19,2012,False,5.0,3-7 days
2012-02-01,0.047,0.4,0.0,0.117,19,2012,False,6.0,3-7 days
2012-02-02,0.021,0.4,0.0,0.092,19,2012,False,7.0,3-7 days
2012-02-03,0.0,0.0,0.0,0.0,19,2012,False,8.0,8-14 days
2012-02-04,0.0,0.0,0.0,0.0,19,2012,False,9.0,8-14 days
2012-02-05,10.405,16.1,5.8,3.208,19,2012,True,0.0,0-2 days
2012-02-06,0.021,0.3,0.0,0.071,19,2012,False,1.0,0-2 days
2012-02-07,0.2,0.6,0.0,0.262,19,2012,False,2.0,0-2 days
2012-02-08,0.0,0.0,0.0,0.0,19,2012,False,3.0,3-7 days
2012-02-09,0.0,0.0,0.0,0.0,19,2012,False,4.0,3-7 days
2012-02-10,1.853,2.6,1.0,0.46,19,2012,True,0.0,0-2 days
2012-02-11,0.163,0.9,0.0,0.248,19,2012,False,1.0,0-2 days
2012-02-12,0.016,0.2,0.0,0.05,19,2012,False,2.0,0-2 days
2012-02-13,0.068,0.3,0.0,0.1,19,2012,False,3.0,3-7 days
2012-02-14,0.874,1.8,0.0,0.432,19,2012,False,4.0,3-7 days
2012-02-15,0.005,0.1,0.0,0.023,19,2012,False,5.0,3-7 days
2012-02-16,0.0,0.0,0.0,0.0,19,2012,False,6.0,3-7 days
2012-02-17,0.047,0.2,0.0,0.084,19,2012,False,7.0,3-7 days
2012-02-18,0.0,0.0,0.0,0.0,19,2012,False,8.0,8-14 days
2012-02-19,2.989,4.2,1.8,0.732,19,2012,True,0.0,0-2 days
2012-02-20,0.0,0.0,0.0,0.0,19,2012,False,1.0,0-2 days
2012-02-21,0.021,0.2,0.0,0.063,19,2012,False,2.0,0-2 days
2012-02-22,0.0,0.0,0.0,0.0,19,2012,False,3.0,3-7 days
2012-02-23,1.121,1.7,0.0,0.425,19,2012,True,0.0,0-2 days
2012-02-24,0.016,0.2,0.0,0.05,19,2012,False,1.0,0-2 days
2012-02-25,0.005,0.1,0.0,0.023,19,2012,False,2.0,0-2 days
2012-02-26,0.0,0.0,0.0,0.0,19,2012,False,3.0,3-7 days
2012-02-27,0.042,0.2,0.0,0.077,19,2012,False,4.0,3-7 days
2012-02-28,0.0,0.0,0.0,0.0,19,2012,False,5.0,3-7 days
2012-02-29,0.0,0.0,0.0,0.0,19,2012,False,6.0,3-7 days
2012-03-01,0.0,0.0,0.0,0.0,19,2012,False,7.0,3-7 days
2012-03-02,0.014,0.2,0.0,0.048,21,2012,False,8.0,8-14 days
2012-03-03,0.01,0.2,0.0,0.044,21,2012,False,9.0,8-14 days
2012-03-04,1.51,3.3,0.0,0.883,21,2012,True,0.0,0-2 days
2012-03-05,7.824,11.7,3.5,1.854,21,2012,True,0.0,0-2 days
2012-03-06,0.005,0.1,0.0,0.022,21,2012,False,1.0,0-2 days
2012-03-07,0.024,0.2,0.0,0.054,21,2012,False,2.0,0-2 days
2012-03-08,4.676,8.8,3.2,1.34,21,2012,True,0.0,0-2 days
2012-03-09,0.014,0.1,0.0,0.036,21,2012,False,1.0,0-2 days
2012-03-10,0.0,0.0,0.0,0.0,21,2012,False,2.0,0-2 days
2012-03-11,0.0,0.0,0.0,0.0,21,2012,False,3.0,3-7 days
2012-03-12,0.019,0.2,0.0,0.06,21,2012,False,4.0,3-7 days
2012-03-13,0.0,0.0,0.0,0.0,21,2012,False,5.0,3-7 days
2012-03-14,0.0,0.0,0.0,0.0,21,2012,False,6.0,3-7 days
2012-03-15,0.01,0.2,0.0,0.044,21,2012,False,7.0,3-7 days
2012-03-16,0.0,0.0,0.0,0.0,21,2012,False,8.0,8-14 days
2012-03-17,0.052,0.4,0.0,0.117,21,2012,False,9.0,8-14 days
2012-03-18,3.357,7.7,0.8,1.52,21,2012,True,0.0,0-2 days
2012-03-19,0.057,0.4,0.0,0.112,21,2012,False,1.0,0-2 days
2012-03-20,0.01,0.2,0.0,0.044,21,2012,False,2.0,0-2 days
2012-03-21,0.0,0.0,0.0,0.0,21,2012,False,3.0,3-7 days
2012-03-22,0.0,0.0,0.0,0.0,21,2012,False,4.0,3-7 days
2012-03-23,0.0,0.0,0.0,0.0,21,2012,False,5.0,3-7 days
