met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2016-01-01,3.5,5.4,2.0,0.995,16,2016
2016-01-02,3.547,6.3,1.1,1.754,17,2016
2016-01-03,4.212,8.0,1.2,1.809,17,2016
2016-01-04,11.165,18.8,5.1,4.409,17,2016
2016-01-05,3.488,6.6,0.2,2.234,17,2016
2016-01-06,1.629,4.8,0.0,1.488,17,2016
2016-01-07,8.847,15.3,5.7,2.908,17,2016
2016-01-08,4.976,9.0,1.2,2.262,17,2016
2016-01-09,2.135,4.2,0.6,0.994,17,2016
2016-01-10,8.241,12.0,4.7,2.241,17,2016
2016-01-11,11.288,15.6,6.6,2.726,17,2016
2016-01-12,0.529,1.6,0.0,0.513,17,2016
2016-01-13,0.412,0.8,0.2,0.18,17,2016
2016-01-14,2.829,5.4,1.8,0.933,17,2016
2016-01-15,0.041,0.2,0.0,0.08,17,2016
2016-01-16,0.0,0.0,0.0,0.0,17,2016
2016-01-17,2.259,3.8,1.0,0.743,17,2016
2016-01-18,0.265,2.0,0.0,0.49,17,2016
2016-01-19,0.0,0.0,0.0,0.0,17,2016
2016-01-20,0.041,0.5,0.0,0.128,17,2016
2016-01-21,0.059,0.5,0.0,0.133,17,2016
2016-01-22,0.276,1.0,0.0,0.331,17,2016
2016-01-23,2.553,3.6,1.7,0.572,17,2016
2016-01-24,1.124,3.0,0.4,0.625,17,2016
2016-01-25,0.012,0.2,0.0,0.049,17,2016
2016-01-26,0.0,0.0,0.0,0.0,17,2016
2016-01-27,4.053,8.9,2.2,1.73,17,2016
2016-01-28,2.059,4.5,1.0,1.03,17,2016
2016-01-29,0.012,0.1,0.0,0.033,17,2016
2016-01-30,5.035,8.4,3.8,1.216,17,2016
2016-01-31,0.282,0.7,0.0,0.204,17,2016
2016-02-01,0.882,2.6,0.0,0.728,17,2016
2016-02-02,0.1,0.6,0.0,0.2,15,2016
2016-02-03,0.153,0.6,0.0,0.213,15,2016
2016-02-04,0.213,0.6,0.0,0.223,15,2016
2016-02-05,0.027,0.2,0.0,0.07,15,2016
2016-02-06,0.933,2.8,0.0,0.776,15,2016
2016-02-07,6.913,10.1,3.5,1.912,15,2016
2016-02-08,14.093,23.3,8.0,4.168,15,2016
2016-02-09,0.807,1.6,0.2,0.425,15,2016
2016-02-10,0.667,2.0,0.0,0.521,15,2016
2016-02-11,0.087,0.5,0.0,0.146,15,2016
2016-02-12,0.08,0.4,0.0,0.147,15,2016
2016-02-13,0.033,0.3,0.0,0.09,15,2016
2016-02-14,4.16,7.2,1.0,1.646,15,2016
2016-02-15,0.033,0.2,0.0,0.072,15,2016
2016-02-16,0.013,0.2,0.0,0.052,15,2016
2016-02-17,0.0,0.0,0.0,0.0,15,2016
2016-02-18,6.773,11.2,5.0,1.533,15,2016
2016-02-19,0.013,0.2,0.0,0.052,15,2016
2016-02-20,0.64,2.6,0.0,0.881,15,2016
2016-02-21,1.413,2.7,0.6,0.682,15,2016
2016-02-22,2.927,5.8,1.0,1.322,15,2016
2016-02-23,1.073,2.0,0.2,0.495,15,2016
2016-02-24,0.027,0.2,0.0,0.07,15,2016
2016-02-25,0.007,0.1,0.0,0.026,15,2016
2016-02-26,0.0,0.0,0.0,0.0,15,2016
2016-02-27,0.0,0.0,0.0,0.0,15,2016
2016-02-28,0.007,0.1,0.0,0.026,15,2016
2016-02-29,0.0,0.0,0.0,0.0,15,2016
2016-03-01,0.4,2.3,0.0,0.579,15,2016
2016-03-02,4.457,7.4,3.0,1.415,14,2016
2016-03-03,2.586,4.0,0.9,0.949,14,2016
2016-03-04,3.764,7.2,1.6,1.517,14,2016
2016-03-05,0.043,0.2,0.0,0.076,14,2016
2016-03-06,0.8,2.0,0.4,0.415,14,2016
2016-03-07,0.121,0.6,0.0,0.201,14,2016
2016-03-08,0.0,0.0,0.0,0.0,14,2016
2016-03-09,15.057,21.8,9.2,4.119,14,2016
2016-03-10,2.886,7.8,0.6,2.268,14,2016
2016-03-11,0.064,0.2,0.0,0.093,14,2016
2016-03-12,0.0,0.0,0.0,0.0,14,2016
2016-03-13,0.0,0.0,0.0,0.0,14,2016
2016-03-14,0.007,0.1,0.0,0.027,14,2016
2016-03-15,0.0,0.0,0.0,0.0,14,2016
2016-03-16,0.021,0.2,0.0,0.058,14,2016
2016-03-17,0.007,0.1,0.0,0.027,14,2016
2016-03-18,0.0,0.0,0.0,0.0,14,2016
2016-03-19,0.0,0.0,0.0,0.0,14,2016
2016-03-20,0.014,0.2,0.0,0.053,14,2016
2016-03-21,0.0,0.0,0.0,0.0,14,2016
2016-03-22,0.0,0.0,0.0,0.0,14,2016
2016-03-23,0.0,0.0,0.0,0.0,14,2016
2016-03-24,0.0,0.0,0.0,0.0,14,2016
2016-03-25,8.071,9.8,6.0,1.251,14,2016
2016-03-26,0.0,0.0,0.0,0.0,14,2016
2016-03-27,6.1,10.6,3.8,2.188,14,2016
2016-03-28,18.671,25.4,14.0,3.627,14,2016
2016-03-29,2.729,4.5,1.0,1.039,14,2016
2016-03-30,4.543,6.0,3.3,0.834,14,2016
2016-03-31,0.093,0.8,0.0,0.223,14,2016
2016-04-01,0.014,0.2,0.0,0.053,14,2016
2016-04-02,0.0,0.0,0.0,0.0,14,2016
2016-04-03,2.736,4.0,1.1,0.755,14,2016
2016-04-04,1.786,2.8,0.6,0.732,14,2016
2016-04-05,0.436,0.8,0.0,0.325,14,2016
2016-04-06,0.279,1.4,0.0,0.375,14,2016
2016-04-07,0.707,1.4,0.2,0.399,14,2016
2016-04-08,3.743,6.2,0.9,1.785,14,2016
2016-04-09,1.614,3.2,0.4,0.736,14,2016
2016-04-10,0.079,0.8,0.0,0.215,14,2016
2016-04-11,0.271,1.2,0.0,0.403,14,2016
2016-04-12,6.186,9.5,2.7,2.491,14,2016
2016-04-13,0.0,0.0,0.0,0.0,14,2016
2016-04-14,0.107,0.6,0.0,0.194,14,2016
2016-04-15,3.836,6.6,2.6,1.242,14,2016
2016-04-16,8.614,19.4,2.7,6.147,14,2016
2016-04-17,0.15,0.6,0.0,0.21,14,2016
2016-04-18,0.0,0.0,0.0,0.0,14,2016
2016-04-19,0.0,0.0,0.0,0.0,14,2016
2016-04-20,0.0,0.0,0.0,0.0,14,2016
2016-04-21,0.0,0.0,0.0,0.0,14,2016
2016-04-22,0.0,0.0,0.0,0.0,14,2016
2016-04-23,3.729,6.4,2.3,1.411,14,2016
2016-04-24,0.714,1.0,0.2,0.228,14,2016
2016-04-25,0.1,0.5,0.0,0.166,14,2016
2016-04-26,1.0,2.2,0.0,0.572,14,2016
2016-04-27,0.1,0.6,0.0,0.188,14,2016
2016-04-28,3.6,9.2,0.0,3.01,14,2016
2016-04-29,1.436,3.6,0.6,0.906,14,2016
2016-04-30,0.557,1.8,0.0,0.589,14,2016
2016-05-01,0.029,0.2,0.0,0.073,14,2016
2016-05-02,0.033,0.2,0.0,0.072,15,2016
2016-05-03,0.08,0.3,0.0,0.108,15,2016
2016-05-04,0.0,0.0,0.0,0.0,15,2016
2016-05-05,0.0,0.0,0.0,0.0,15,2016
2016-05-06,0.0,0.0,0.0,0.0,15,2016
2016-05-07,0.0,0.0,0.0,0.0,15,2016
2016-05-08,0.0,0.0,0.0,0.0,15,2016
2016-05-09,0.0,0.0,0.0,0.0,15,2016
2016-05-10,3.7,5.2,1.3,1.027,15,2016
2016-05-11,21.013,36.2,6.6,8.683,15,2016
2016-05-12,8.18,25.0,2.5,5.569,15,2016
2016-05-13,0.013,0.2,0.0,0.052,15,2016
2016-05-14,0.0,0.0,0.0,0.0,15,2016
2016-05-15,0.02,0.2,0.0,0.056,15,2016
2016-05-16,0.0,0.0,0.0,0.0,15,2016
2016-05-17,0.0,0.0,0.0,0.0,15,2016
2016-05-18,0.127,0.4,0.0,0.116,15,2016
2016-05-19,5.507,8.1,2.7,1.816,15,2016
2016-05-20,0.013,0.2,0.0,0.052,15,2016
2016-05-21,0.013,0.2,0.0,0.052,15,2016
2016-05-22,0.227,0.6,0.0,0.187,15,2016
2016-05-23,2.027,11.8,0.0,3.294,15,2016
2016-05-24,4.967,23.2,0.0,7.6,15,2016
2016-05-25,0.007,0.1,0.0,0.026,15,2016
2016-05-26,0.0,0.0,0.0,0.0,15,2016
2016-05-27,0.0,0.0,0.0,0.0,15,2016
2016-05-28,0.073,0.5,0.0,0.162,15,2016
2016-05-29,0.0,0.0,0.0,0.0,15,2016
2016-05-30,0.0,0.0,0.0,0.0,15,2016
2016-05-31,9.2,16.4,0.4,6.021,15,2016
2016-06-01,8.853,14.3,2.8,3.541,15,2016
2016-06-02,1.829,7.8,0.0,2.301,14,2016
2016-06-03,0.05,0.5,0.0,0.14,14,2016
2016-06-04,0.036,0.2,0.0,0.074,14,2016
2016-06-05,0.0,0.0,0.0,0.0,14,2016
2016-06-06,0.0,0.0,0.0,0.0,14,2016
2016-06-07,0.043,0.6,0.0,0.16,14,2016
2016-06-08,9.829,45.0,1.5,12.047,14,2016
2016-06-09,9.371,43.7,0.0,11.428,14,2016
2016-06-10,0.0,0.0,0.0,0.0,14,2016
2016-06-11,0.086,0.3,0.0,0.141,14,2016
2016-06-12,4.6,13.0,0.4,4.489,14,2016
2016-06-13,3.307,5.1,1.6,1.023,14,2016
2016-06-14,3.436,7.8,1.3,2.154,14,2016
2016-06-15,2.779,8.0,0.5,2.089,14,2016
2016-06-16,1.214,3.2,0.0,1.026,14,2016
2016-06-17,3.729,13.6,0.1,3.69,14,2016
2016-06-18,7.9,22.3,2.7,6.276,14,2016
2016-06-19,0.007,0.1,0.0,0.027,14,2016
2016-06-20,7.543,11.0,5.6,1.772,14,2016
2016-06-21,4.65,6.2,3.2,0.828,14,2016
2016-06-22,0.0,0.0,0.0,0.0,14,2016
2016-06-23,36.943,53.6,21.0,9.417,14,2016
2016-06-24,6.1,15.9,2.5,4.247,14,2016
2016-06-25,0.007,0.1,0.0,0.027,14,2016
2016-06-26,2.979,10.6,0.0,3.18,14,2016
2016-06-27,1.264,2.7,0.4,0.781,14,2016
2016-06-28,0.021,0.2,0.0,0.058,14,2016
2016-06-29,2.071,2.8,1.3,0.463,14,2016
2016-06-30,2.521,5.0,1.0,1.317,14,2016
2016-07-01,0.764,1.4,0.0,0.448,14,2016
2016-07-02,1.029,2.8,0.0,0.863,14,2016
2016-07-03,1.636,4.0,0.0,1.413,14,2016
2016-07-04,0.0,0.0,0.0,0.0,14,2016
2016-07-05,0.014,0.2,0.0,0.053,14,2016
2016-07-06,0.0,0.0,0.0,0.0,14,2016
2016-07-07,0.043,0.2,0.0,0.085,14,2016
2016-07-08,0.0,0.0,0.0,0.0,14,2016
2016-07-09,0.0,0.0,0.0,0.0,14,2016
2016-07-10,0.0,0.0,0.0,0.0,14,2016
2016-07-11,0.064,0.3,0.0,0.115,14,2016
2016-07-12,4.664,9.6,0.0,3.56,14,2016
2016-07-13,6.436,14.6,2.0,3.657,14,2016
2016-07-14,1.314,4.0,0.0,1.118,14,2016
2016-07-15,0.0,0.0,0.0,0.0,14,2016
2016-07-16,0.0,0.0,0.0,0.0,14,2016
2016-07-17,0.0,0.0,0.0,0.0,14,2016
2016-07-18,0.014,0.2,0.0,0.053,14,2016
2016-07-19,0.0,0.0,0.0,0.0,14,2016
2016-07-20,0.0,0.0,0.0,0.0,14,2016
2016-07-21,0.0,0.0,0.0,0.0,14,2016
2016-07-22,0.436,1.4,0.0,0.431,14,2016
2016-07-23,0.129,1.0,0.0,0.3,14,2016
2016-07-24,0.0,0.0,0.0,0.0,14,2016
2016-07-25,0.064,0.3,0.0,0.101,14,2016
2016-07-26,0.0,0.0,0.0,0.0,14,2016
2016-07-27,0.9,2.8,0.0,0.809,14,2016
2016-07-28,0.236,2.8,0.0,0.744,14,2016
2016-07-29,0.243,1.4,0.0,0.392,14,2016
2016-07-30,0.336,1.0,0.0,0.287,14,2016
2016-07-31,0.0,0.0,0.0,0.0,14,2016
2016-08-01,0.0,0.0,0.0,0.0,14,2016
2016-08-02,10.407,14.4,6.2,2.501,14,2016
2016-08-03,1.85,3.1,0.2,0.896,14,2016
2016-08-04,0.0,0.0,0.0,0.0,14,2016
2016-08-05,0.071,0.4,0.0,0.127,14,2016
2016-08-06,0.021,0.3,0.0,0.08,14,2016
2016-08-07,0.0,0.0,0.0,0.0,14,2016
2016-08-08,0.007,0.1,0.0,0.027,14,2016
2016-08-09,0.0,0.0,0.0,0.0,14,2016
2016-08-10,0.421,5.9,0.0,1.577,14,2016
2016-08-11,0.0,0.0,0.0,0.0,14,2016
2016-08-12,0.0,0.0,0.0,0.0,14,2016
2016-08-13,0.0,0.0,0.0,0.0,14,2016
2016-08-14,0.0,0.0,0.0,0.0,14,2016
2016-08-15,0.0,0.0,0.0,0.0,14,2016
2016-08-16,0.0,0.0,0.0,0.0,14,2016
2016-08-17,0.0,0.0,0.0,0.0,14,2016
2016-08-18,0.0,0.0,0.0,0.0,14,2016
2016-08-19,0.129,0.3,0.0,0.127,14,2016
2016-08-20,1.743,3.0,0.6,0.742,14,2016
2016-08-21,1.936,3.6,0.6,0.798,14,2016
2016-08-22,0.407,0.8,0.1,0.227,14,2016
2016-08-23,0.0,0.0,0.0,0.0,14,2016
2016-08-24,0.0,0.0,0.0,0.0,14,2016
2016-08-25,0.486,2.4,0.0,0.852,14,2016
